TIPOLOGIA_STRUTTURA;ASP;DENOMINAZIONE_STRUTTURA;INDIRIZZO_SEDE_OPERATIVA;CITTA';SOGGETTO_GESTORE;INDIRIZZO_SEDE_LEGALE;NUMERO_TELEFONO;PEC;PROVVEDIMENTO_DI_ACCREDITAMENTO
RETE LAC;KR;Cerba HealthCare Crotone Srl;Via Avogadro - Loc. Passovecchio;Crotone;Cerba HealthCare Crotone Srl;Via Roma, 111 Crotone;0962 24586;morronelab@pec.it;D.P.G.R. N. 1/2011 DCA n. 48 del 01-03-17 DCA N. 100 DEL 07/07/2017
RETE LAC;KR;Cerba HealthCare Crotone Srl;Via Roma, 111;Crotone;Cerba HealthCare Crotone Srl;Via Roma, 111 Crotone;;morronelab@pec.it;D.P.G.R. N. 1/2011 DCA n. 48 del 01-03-17 DCA N. 100 DEL 07/07/2017
RETE LAC;KR;Cerba HealthCare Crotone Srl;Via Rialto, 3;Strongoli;Cerba HealthCare Crotone Srl;Via Roma, 111 Crotone;0962 81047;morronelab@pec.it;D.P.G.R. N. 1/2011 DCA n. 191 del 23/10/2018
RETE LAC;KR;Laboratorio Analisi Cliniche ALTOMARI S.r.l.;Via A. Moro, 15;Cirò Marina;Laboratorio Analisi Cliniche ALTOMARI S.r.l.;Via A. Moro, 15 Cirò Marina (KR);0962 31265;laboratorioaltomari@legalmail.it;D.P.G.R. N. 1/2011
RETE LAC;CS;Cerba HealthCare Cosenza Srl;Via G. e F. Falcone, 202/A;Cosenza;Cerba HealthCare Cosenza Srl;Via G. e F. Falcone, 202/A Cosenza;0984 392394;cosenza@pec.cerbahealthcare.it;D.P.G.R. N. 1/2011 NOTA 11056/2019 NOTA 213966/2019
RETE LAC;CS;Cerba HealthCare Cosenza Srl;Via G. Puccini, 3;Rende;Cerba HealthCare Cosenza Srl;Via G. e F. Falcone, 202/A Cosenza;0984 465040;cosenza@pec.cerbahealthcare.it;D.P.G.R. N. 1/2011 Nota prot. N.417752 del 07/12/2018 DCA N. 257 DEL 07/12/2018 Nota prot. n. 6868 del 18/02/2019
RETE LAC;CS;Cerba HealthCare Cosenza Srl;Via Ugo Cavalcanti, 7-11;Cosenza;Cerba HealthCare Cosenza Srl;Via G. e F. Falcone, 202/A Cosenza;0984 391028;cosenza@pec.cerbahealthcare.it;D.P.G.R. N. 1/2011 Nota prot. n. 68797 del 18/02/2019
RETE LAC;CS;ANMI Centro Diagnostico s.r.l. (ex Laboratorio Analisi Cliniche Diagnostica Medica Coscarella & C. s.n.c.);Viale Sant'Angelo - Località Crosetto;Corigliano-Rossano;ANMI Centro Diagnostico s.r.l.  ;Via Monte S. Michele, 13 Cosenza;0983 513856;anmicentrodiagnostico@pec.it;DCA N. 23/2017 DCA N. 103 del 12/07/2017
RETE LAC;CS;Laboratorio Analisi Cliniche SALUS Dr. Gravina & C. s.n.c.;Via Calabria;Montalto Uffugo;Laboratorio Analisi Cliniche SALUS Dr. Gravina & C. s.n.c.;Via Calabria Montalto Uffigo (CS);0984 932294;salusmontalto@arubapec.it;D.P.G.R. N. 1/2011
RETE LAC;KR;Laboratorio Analisi Cliniche Polispecialistica  BIOS s.r.l. ;Piazza Umberto I°, 41;Crotone;Polispecialistica BIOS srl;Piazza Umberto I°, 41 Crotone;0962 25711;info@pec.biosmedica.it;D.P.G.R. N. 1/2011
RETE LAC;KR;Laboratorio Analisi Cliniche PASTEUR s.r.l. ;Via Vigna della Corte;Petilia Policastro;Laboratorio Analisi Cliniche PASTEUR s.r.l. ;Via Vigna della Corte Petilia Policastro (KR);0962 432118;pasteursrl@pec.it;D.P.G.R. N. 1/2011
RETE LAC;CS;Laboratorio Analisi Cliniche BIOLAB s.a.s. di Pugliese Fabrizio & C.;Via Monviso, 90;S. Giovanni in Fiore;Biolab sas di Pugliese F. & C.;Via Monviso, 90 S. Giovanni in Fiore (CS);0984 993894; biolabsas@pec.it;D.P.G.R. N. 1/2011
RETE LAC;KR;Laboratorio Analisi Cliniche Riillo Sas di Pierluigi Riillo;Via A. Gramsci, 1;Isola Capo Rizzuto;Laboratorio Analisi Cliniche Riillo Sas di Pierluigi Riillo;Via A. Gramsci, 1 Isola Capo Rizzuto (KR);0962 791063;laboratorioanalisiriillo@pec.it;D.P.G.R. N. 1/2011 DCA n. 95/2018
RETE LAC;CS;Laboratorio Analisi Cliniche Dr. BORZI' Domenico S.r.l.;Via S. Michele, 10;Fuscaldo Marina;Laboratorio Analisi Cliniche Dr. BORZI' Domenico S.r.l.;Via S. Michele, 10 Fuscaldo Marina (CS);0982 686636;laboratorioborzi@pec.it;D.P.G.R. N. 1/2011 DCA n. 93/2018 DCA n. 178/2018 D.D.G. n.17928 del 29/10/2004 DCA n. 206/2018
RETE LAC;CS;Laboratorio Saulo S.r.l.;Via Ponte Bagni;Acquappesa;Laboratorio Saulo S.r.l.;Via Ponte Bagni Acquappesa (CS);0982 94368;brunosaulo@pec.libero.it;D.P.G.R. N. 1/2011 DCA n. 25/2017
RETE LAC;CS;Laboratorio Analisi Cliniche LAC s.a.s.;Via Margherita ;Amantea;Laboratorio Analisi Cliniche LAC s.a.s.;Via Margherita Amantea (CS);0982 41980;munnovincenzo@pec.it;D.P.G.R. N. 1/2011
RETE LAC;CS;Laboratorio Analisi Caliò della Dr.ssa M.L. Iaconianni & C. Sas;Via Vivaldi, 8/10;Trebisacce;Laboratorio Analisi Caliò Sas ;Via Vivaldi, 8/10 Trebisacce (CS);0981 51789;laboratorioanalisicaliosas@pec.it;D.P.G.R. N. 1/2011 NOTA prot. N. 301167 12/09/2012
RETE LAC;CS;Laboratorio Analisi Cliniche Centro Diagnostico  S. ANTONIO s.r.l.;Via Verona, 14 ;Amantea;Centro Diagnostico  S. ANTONIO s.r.l.;Via Verona, 14 Amantea (CS);0982 41498;analisis.antonio@pec.it;D.P.G.R. N. 1/2011
RETE LAC;KR;Laboratorio Analisi Cliniche L.A.B.  S.r.l.;Via M. Nicoletta, 31;Crotone;Laboratorio Analisi Cliniche L.A.B.  S.r.l.;Via M. Nicoletta, 31 Crotone;0962 901772;laboratoriolab@pec.it;D.P.G.R. N. 1/2011
RETE LAC;KR;Laboratorio Analisi Cliniche Salvatore VIA s.r.l.;Via Giovanni Paolo II, 48;Crotone;Laboratorio Analisi Cliniche Salvatore VIA s.r.l.;Via Giovanni Paolo II, 48 Crotone;0962 21712;laboratoriovia@pec.it;"D.P.G.R. N. 1/2011 
Nota prot. N. 261084 26/07/2012"
RETE LAC;KR;Laboratorio Analisi Cliniche Cutro s.r.l.;Via Risorgimento, 81;Cutro;Laboratorio Analisi Cliniche Cutro s.r.l.;Via Risorgimento, 81 Cutro (KR);0962 773444;laboratorioanalisicliniche@pec.it;D.P.G.R. N. 1/2011
RETE LAC;KR;Laboratorio Analisi Cliniche Dr. Angelo TOMASSO s.a.s.;Corso Mazzini Pal. Riganello;Crotone;Laboratorio Analisi Cliniche Dr. Angelo TOMASSO s.a.s.;Corso Mazzini, 74 Crotone;0962 29842;lab.tomasso@pec.it;D.P.G.R. N. 1/2011
RETE LAC;RC;Istituto Diagnostico Prof. Demetrio Meduri s.r.l. ;Corso Garibaldi, 563;Reggio Calabria ;Istituto Diagnostico Prof. Demetrio Meduri s.r.l. ;Corso Garibaldi, 563 Reggio Calabria;0965 813399;istitutodiagnostico@pec.it;D.P.G.R. N. 1/2011 Nota prot. N. 27217 24/11/2010
RETE LAC;RC;Laboratorio Analisi Cliniche I.D.E.A. s.a.s.;Via Del Gelsomino, 45/D;Reggio Calabria ;Laboratorio Analisi Cliniche I.D.E.A. s.a.s.;Via Del Gelsomino, 45/D Reggio Calabria;0965 899050;istitutoidea@pecstudio.it;D.P.G.R. N. 1/2011
RETE LAC;VV;Laboratorio Analisi Cliniche SALUS Mangialavori s.r.l.;Via Don Bosco;Vibo Valentia;SALUS Mangialavori s.r.l.;Via Don Bosco Vibo Valentia;0963 45360;salusmangialavori@pec.it;D.P.G.R. N. 1/2011
RETE LAC;VV;Laboratorio Analisi Cliniche LABOGEST s.r.l.;Via Kennedy, 104;Mileto;LABOGEST s.r.l.;Via Kennedy, 104 Mileto (VV);0963 339185             320 0232179;labogestsrl@pec.it;D.P.G.R. N. 1/2011
RETE LAC;VV;La Praevidentia s.r.l.;Via Corte, 1 Trav. I;Nicotera;La Praevidentia s.r.l.;Via Corte, 1 Trav. I Nicotera (VV);0963 880009;lapraevidentiasrl@pec.it;DCA N. 95/2014 DCA n. 86 del 23/05/2019
RETE LAC;KR;Laboratorio Analisi Cliniche VOLANTE s.r.l.;Via M. Nicoletta, 168;Crotone;Laboratorio Analisi Cliniche VOLANTE s.r.l.;Via M. Nicoletta, 168 Crotone;0962 29975;laboratoriovolante@pec.it;D.P.G.R. N. 1/2011
RETE LAC;KR;Laboratorio Analisi Cliniche Dr.  RODIO Pasquale s.r.l.;Via Tribuna, 4;Petilia Policastro;Laboratorio Analisi Cliniche Dr.  RODIO Pasquale s.r.l.;Via Tribuna, 4 Petilia Policastro (KR);0962 433415;lab.rodiosrl@pec.it;D.P.G.R. N. 1/2011
RETE LAC;CZ;Laboratorio Analisi Cliniche Centro Medico A. Fleming s.r.l.;Via Magna Grecia, 245;Catanzaro;Laboratorio A. Fleming s.r.l.;Via Magna Grecia, 245 Catanzaro;0961 781223;laboratoriofleming@pec.it;D.P.G.R. N. 1/2011 DCA 151 del 20/7/18
RETE LAC;CS;Laboratorio Analisi Cliniche LUSAL di Angela Argirò & C s.n.c.;Via Kennedy, 2;Tortora ;Laboratorio Analisi Cliniche LUSAL di Angela Argirò & C s.n.c.;Via Kennedy, 2 Tortora (CS);0985 73025;laboratorio.lusal@pec.it;D.P.G.R. N. 1/2011
RETE LAC;CS;Laboratorio Analisi Cliniche  F.lli LUCA & C s.a.s.;Corso Garibaldi, 129;Paola;Laboratorio Analisi Fratelli Luca di Valenza Corinna & C. SAS;Corso Garibaldi, 129 Paola;0982 582188;labluca@pec.it;D.P.G.R. N. 1/2011
RETE LAC;CS;Biomedical Center s.r.l.;Via Lava Ganza, 57;Amantea;Biomedical Center s.r.l.;Via Lava Ganza, 57 Amantea (CS);0982 41616;biomedicalcenter.srl@pec.it;D.P.G.R. N. 152/2013
RETE LAC;CS;Laboratorio Analisi Cliniche SALUS s.r.l.;Via Reale, 4;Roggiano Gravina;Salus Srl;Via Reale, 4 Roggiano Gravina (CS);0984 502183;salusrl@mypec.eu;D.P.G.R. N. 1/2011
RETE LAC;CS;Laboratorio Analisi Cliniche Centro Jonico di Diagnostica Dr. IPPOLITO  & C. s.a.s.;Via Dolcedorme, 2;Francavilla Marittima;Centro Jonico di Diagnostica Sas;Via Dolcedorme, 2 Francavilla Marittima (CS);0981 992295;dott.ippolitovincenzo@pec.it;D.P.G.R. N. 1/2011
