id,aas,denominazione,indirizzo,n_civ,cap,citta,prov,telefono,tipologia,natura_giuridica,pl_tot,auto_n1,auto_n2,non_auto_n3,rm_auto,rm_non_auto,lat,longit,Georeferenziazione
177,Azienda Sanitaria Universitaria Giuliano Isontina,'Zaffiro Ronchi',Via Mazzini,44,34077,Ronchi dei Legionari,GO,0481/757500,Terzo livello,Privata di mercato,120,0,0,120,0,118.5,45.827224,13.497876,POINT (13.497876 45.827224)
176,Azienda Sanitaria Friuli Occidentale,Villa Olimpia,Via Montecavallo,76,33081,Aviano,PN,0434-080907,Secondo livello,Privata sociale,42,0,0,42,89.25,89.25,46.073629,12.550015,POINT (12.550015 46.073629)
175,Azienda Sanitaria Friuli Occidentale,Residenza 'Tre Cuori',Viale dello Sport,8/z,33074,Fontanafredda,PN,0434/1702661,Terzo livello,Privata di mercato,120,0,0,120,89.5,89.5,45.979898,12.567207,POINT (12.567207 45.979898)
178,Azienda Sanitaria Friuli Occidentale,Casa Clelia,Via Meschio,6,33170,Pordenone,PN,340/6403995,ComunitÃ  familiare,Privata sociale,8,8,0,0,63,0,45.954003,12.651042,POINT (12.651042 45.954003)
174,Azienda Sanitaria Universitaria Friuli Centrale,'Zaffiro' - Udine,Via Umago,13,33100,Udine,UD,0432/814811,Terzo livello,Privata di mercato,118,0,0,118,,125.5,46.070363,13.245814,POINT (13.245814 46.070363)
149,Azienda Sanitaria Friuli Occidentale,Centro Assistenza Anziani di Maniago,Via S. Mauro,5,33085,Maniago,PN,0427/707400,Terzo livello,Pubblica comunale,88,0,0,88,0,77.6,46.17199651,12.7120937,POINT (12.7120937 46.17199651)
148,Azienda Sanitaria Friuli Occidentale,ASP Cordenonese 'Virginia Fabbri Taliento',Via Cervel,68,33084,Cordenons,PN,0434/930440,Terzo livello,Pubblica ASP,113,0,20,93,68.5,93.1,45.989948,12.702062,POINT (12.702062 45.989948)
147,Azienda Sanitaria Friuli Occidentale,Fondazione G. Fabricio,Via Villa Dote,17,33090,Clauzetto,PN,0427/80205,Primo livello,Privata ente religioso,25,0,0,25,57,84,46.229235,12.91819,POINT (12.91819 46.229235)
146,Azienda Sanitaria Friuli Occidentale,Residenza Assistenziale Alberghiera di Cimolais,Via XIX Ottobre,43,33080,Cimolais,PN,0427/87035,Alberghiera,Privata sociale,32,32,0,0,55,0,46.2906,12.43822,POINT (12.43822 46.2906)
145,Azienda Sanitaria Friuli Occidentale,Residenza 'Le Betulle',Via Vittorio Veneto,91,33092,Cavasso Nuovo,PN,0427/77248,Terzo livello,Pubblica ASP,91,3,0,88,62.1,88.5,46.18928,12.76374,POINT (12.76374 46.18928)
144,Azienda Sanitaria Friuli Occidentale,'SolidarietÃ  - Mons. D. Cadore',Viale XXV Aprile,42,33082,Azzano Decimo,PN,0434/640074,Terzo livello,Pubblica ASP,84,0,0,84,0,84.9,45.880705,12.710721,POINT (12.710721 45.880705)
143,Azienda Sanitaria Friuli Occidentale,Casa di soggiorno per anziani di Aviano,Via Aldo Moro,13,33081,Aviano,PN,0434/652367,Terzo livello,Pubblica comunale,95,0,0,95,0,73.9,46.07192,12.57912,POINT (12.57912 46.07192)
142,Azienda Sanitaria Universitaria Friuli Centrale,'Stati Uniti d'America',Via Stati Uniti d'America,10,33029,Villa Santina,UD,0433/74364,Alberghiera,Pubblica ASP,96,96,0,0,51.86,57.86,46.413243,12.929202,POINT (12.929202 46.413243)
141,Azienda Sanitaria Universitaria Friuli Centrale,'Albertone del Colle',Via S. Giovanni,8,33010,Venzone,UD,0432/890850,Primo livello,Pubblica ASP,34,0,18,16,57,66,46.33402,13.13801,POINT (13.13801 46.33402)
140,Azienda Sanitaria Universitaria Friuli Centrale,Casa di accoglienza del clero,Via Giuseppe Ellero,3/4,33100,Udine,UD,0432/511185,Personale religioso non autosufficiente,Privata ente religioso,45,0,0,0,49.31,59.18,46.06236,13.24244,POINT (13.24244 46.06236)
139,Azienda Sanitaria Universitaria Friuli Centrale,'I Faggi',Via Micesio,31,33100,Udine,UD,0432/886211,Alberghiera,Pubblica ASP,124,124,0,0,46.86,0,46.068431,13.228243,POINT (13.228243 46.068431)
138,Azienda Sanitaria Universitaria Friuli Centrale,Residenza 'Gelsomino',Via Podgora,16,33100,Udine,UD,0432/235612,Secondo livello,Privata di mercato,48,0,0,48,109,109,46.0587367,13.2226213,POINT (13.2226213 46.0587367)
137,Azienda Sanitaria Universitaria Friuli Centrale,Residenza 'Caris',Via Montello,55,33100,Udine,UD,0432/484736,Secondo livello,Privata di mercato,60,0,0,60,107,107,46.082296,13.236543,POINT (13.236543 46.082296)
