COD_ASL,COD_STRUTTURA,DENOM_STRUTTURA,INDIRIZZO_UBICAZIONE,COD_ISTAT_COMUNE_UBICAZIONE,COMUNE_UBICAZIONE,CAP,PROV_COMUNE_UBICAZIONE,TOT_POSTI_AUTORIZZATI,TOT_POSTI_ACCREDITATI,COD_GESTORE,DENOM_GESTORE,P_IVA,COD_FISCALE_GESTORE,INDIRIZZO_SEDE_LEGALE,COD_ISTAT_COMUNE_SEDE_LEGALE,COMUNE_SEDE_LEGALE,PROV_SEDE_LEGALE,NATURA_GIURIDICA,PUBBLICA_PRIVATA,ONLUS,WGS84_X,WGS84_Y,LOCATION
326,094346,CENTRO DIURNO,"VIA SANTA MARIA,17",017077,GAVARDO,25085,BS,25,25,690735,FONDAZIONE LA MEMORIA ETS,96000500171,96000500171,"VIA SANTA MARIA,17",017077,GAVARDO,BS,,PRIVATA,,10.4396983,45.5870188,POINT (10.4396983 45.5870188)
323,000931,CDI CITTA' DI TIRANO,"VIA GIOVANNI BERTACCHI,3",014066,TIRANO,23037,SO,20,20,690493,"""FONDAZIONE """"CASA DI RIPOSO CITTA' DI TIRANO"""" ONLUS""",00401160148,83001140140,"VIA GIOVANNI BERTACCHI,6",014066,TIRANO,SO,,PRIVATA,,10.1707946,46.2176723,POINT (10.1707946 46.2176723)
324,001175,CDI GIMOT,"VIA MARCO D'AGRATE,28",108001,AGRATE BRIANZA,20864,MB,20,20,691738,COMUNE DI AGRATE BRIANZA,00732220967,02254070150,"VIA SAN PAOLO,24",108001,AGRATE BRIANZA,MB,,PUBBLICA,,9.350198,45.5751731,POINT (9.350198 45.5751731)
326,090647,CASA SERENA  MAESTRA ANGIOLINA BRESCIANI,"VIA BARCO,60 G",017046,CAZZAGO SAN MARTINO,25046,BS,20,20,690677,DON AMBROGIO CACCIAMATTA - FRATELLI GUERINI ONLUS,03595720172,80016110175,"VIA PER ROVATO,13/D",017085,ISEO,BS,,PRIVATA,,10.0408512,45.583146,POINT (10.0408512 45.583146)
324,001019,CDI MARIA BAMBINA,"VIA ROMA,7",108006,BELLUSCO,20882,MB,25,25,691775,L'ARCOBALENO SOCIETA' COOPERATIVA SOCIALE - ONLUS,01461770131,01461770131,"VIALE FILIPPO TURATI,117",097042,LECCO,LC,SOCIETA' COOPERATIVA DI SOLIDARIETA' SOCIALE,PRIVATA,SI,9.4197378,45.6185129,POINT (9.4197378 45.6185129)
321,000271,CDI FONDAZIONE G. GEMELLARO ONLUS,"VIA XXV APRILE,32",015005,ALBAIRATE,20080,MI,34,34,690858,FONDAZIONE GIUSEPPE GEMELLARO ONLUS,03345430965,97146120155,"VIA XXV APRILE,32",015005,ALBAIRATE,MI,,PRIVATA,,8.9394482,45.4178669,POINT (8.9394482 45.4178669)
327,001978,"""CDI FONDAZIONE """"BENEFATTORI CREMASCHI""""""","VIA PLACIDO ZURLA,1",019035,CREMA,26013,CR,20,20,690690,FONDAZIONE BENEFATTORI CREMASCHI ONLUS,01319070197,01319070197,"VIA KENNEDY,2",019035,CREMA,CR,FONDAZIONE,PRIVATA,SI,9.6856744,45.365323,POINT (9.6856744 45.365323)
327,001881,C.D.I. VILLA MADDALENA,"VIA CESARE BATTISTI,17",020026,GOITO,46044,MN,15,15,690452,C.S.A. COOPERATIVA SERVIZI ASSISTENZIALI - SOCIETA' COOPERATIVA SOCIALE,01697440202,01697440202,"VIA GELSO,8",020030,MANTOVA,MN,SOCIETA' COOPERATIVA DI SOLIDARIETA' SOCIALE,PRIVATA,SI,10.66803,45.25649,POINT (10.66803 45.25649)
321,000528,CDI LEOPARDI,"VIA CESARE PASCARELLA,19",015146,MILANO,20157,MI,20,20,691731,EDOS SRL,09320650964,05831590962,"VIA BENEDETTO DA FOIANO,14",048017,FIRENZE,FI,SOCIETA' A RESPONSABILITA' LIMITATA CON UN UNICO SOCIO,PRIVATA,NO,9.1431281,45.5160146,POINT (9.1431281 45.5160146)
321,000666,"""CDI """"IL GIRASOLE""""""","VIA CAMILLO BENSO DI CAVOUR,21",015140,MELEGNANO,20077,MI,30,30,690409,FONDAZIONE CASTELLINI - ONLUS,03769650155,84507490153,"VIA CAMILLO BENSO DI CAVOUR,21",015140,MELEGNANO,MI,,PRIVATA,,9.3253777,45.3601758,POINT (9.3253777 45.3601758)
325,001337,CDI FONDAZIONE SANT'ANDREA,"VIA SAN DEFENDENTE,1",016077,CLUSONE,24023,BG,30,30,690757,FONDAZIONE SANT'ANDREA ONLUS,03215660162,03215660162,"VIA SAN DEFENDENTE,1",016077,CLUSONE,BG,,PRIVATA,,9.95353,45.89125,POINT (9.95353 45.89125)
322,000784,"""CDI """"CASA DON GUANELLA""""""","PIAZZA DON GUANELLA,43",012084,ISPRA,21027,VA,10,10,691166,PROVINCIA ITALIANA DELLA CONGREGAZIONE DEI SERVI DELLA CARITA' - OPERA DON GUANELLA,01084241007,02595400587,"VICOLO CLEMENTI,41",058091,ROMA,RM,,PRIVATA,,8.61252,45.81452,POINT (8.61252 45.81452)
328,002219,CDI ISTITUTO DI ASSISTENZA E CURA SANTA MARGHERITA,"VIA EMILIA,10/12",018110,PAVIA,27100,PV,30,30,690361,ISTITUZIONI ASSISTENZIALI RIUNITE DI PAVIA - AZIENDA DI SERVIZI ALLA PERSONA,02030350181,02030350181,"VIALE GIACOMO MATTEOTTI,63",018110,PAVIA,PV,AZIENDA DI SERVIZI ALLA PERSONA (ASP),PUBBLICA,NO,9.17344,45.19542,POINT (9.17344 45.19542)
321,000445,"CDI ""IL GELSO""","VIA MILANO,51",015243,VITTUONE,20009,MI,20,20,691788,AV VITTUONE S.R.L.,05944080968,05944080968,"VIA MANFREDO CAMPERIO,14",015146,MILANO,MI,,PRIVATA,,8.9497425,45.482419,POINT (8.9497425 45.482419)
323,000908,CDI FONDAZIONE DON G. FERRAGLIO,"VIA GIOVANNI FERRAGLIO,8",017101,MALONNO,25040,BS,15,15,690626,FONDAZIONE DON GIOVANNI FERRAGLIO MALONNO ONLUS,00656570983,01814460174,"VIA GIOVANNI FERRAGLIO,8",017101,MALONNO,BS,,PRIVATA,,10.31679,46.11964,POINT (10.31679 46.11964)
327,001974,CDI ROBECCO D'OGLIO,"VIA GIUSEPPE MAZZINI,31",019085,ROBECCO D'OGLIO,26010,CR,15,15,690539,FONDAZIONE CASA DI RIPOSO DI ROBECCO D'OGLIO ONLUS,01097920191,93029860199,"VIA GIUSEPPE MAZZINI, 31",019085,ROBECCO D'OGLIO,CR,FONDAZIONE,PRIVATA,NO,10.0801393,45.2575018,POINT (10.0801393 45.2575018)
