CODICE_ATS,ATS,CODICE_ASST,ASST,AMBITO,COD_EG,DENOMINAZIONE_EG,CODICE_FISCALE_EG,PARTITA_IVA_EG,UNITA_OFFERTE_SOCIALI,CODICE_CUDES,DENOMINAZIONE_STRUTTURA,NR_POSTI,PROV,CAP,COMUNE_DI_UBICAZIONE,FRAZIONE,INDIRIZZO_STRUTTURA,TELEFONO_STRUTTURA,FAX_STRUTTURA,EMAIL_STRUTTURA,SITO_WEB_MAIL,WGS84_Y,WGS84_X,location
030327,ATS DELLA VAL PADANA,030725,ASST DI MANTOVA,GUIDIZZOLO,134628,CENTRO SOCIALE OASI AUSER,90012630209,90012630209,CENTRO DIURNI ANZIANI,054553,CENTRO SOCIALE OASI AUSER AUSER,45,MN,46040,CAVRIANA,,"VIA CROCE BIANCA,48",,,,,45.34378,10.59768,POINT (10.59768 45.34378)
030322,ATS DELL'INSUBRIA,030710,ASST DEI SETTE LAGHI,CITTIGLIO,122009,COMUNE DI BIANDRONNO,00308160126,00308160126,CENTRO DIURNI ANZIANI,054534,"CENTRO DIURNO ANZIANI ""ISOLINO VIRGINIA""",100,VA,21024,BIANDRONNO,,"VIA VITTORIO VENETO,SNC",0332/766514,,CSABIANDRONNO@GMAIL.COM,,45.8051954,8.7082139,POINT (8.7082139 45.8051954)
030322,ATS DELL'INSUBRIA,030710,ASST DEI SETTE LAGHI,CITTIGLIO,121988,COMUNE DI BESOZZO,00338010127,00338010127,CENTRO DIURNI ANZIANI,054385,CENTRO DIVERS' ETA',40,VA,21023,BESOZZO,,"VIA D.ZANGRILLI,12",0332770262,,CENTROANZIANIBESOZZO@LIBERO.IT,WWW.COMUNE.BESOZZO.VA.IT,45.842674,8.6629424,POINT (8.6629424 45.842674)
030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030708,ASST MELEGNANO E DELLA MARTESANA,VISCONTEO SUD MILANO,201480,ROMEO S.R.L.,14296690960,14296690960,ALLOGGIO PROTETTO ANZIANI,049942,APPARTAMENTI PROTETTI,100,MI,20082,BINASCO,,VIA STRADA CERCA,02900351,,INFO.RESIDENZEHELIOPOLIS@KORIAN.IT,,45.338127985754,9.103473727174,POINT (9.103473727174 45.338127985754)
030324,ATS DELLA BRIANZA,030715,ASST DI LECCO,LECCO,690672,KCS CAREGIVER COOPERATIVA SOCIALE,02125100160,02125100160,ALLOGGIO PROTETTO ANZIANI,052493,SANTA MARGHERITA,15,LC,23854,OLGINATE,,"VIA CESARE CANTU',75/B",0341 6534100,,OLGINATE@VILLASERENASPA.IT,,45.7920891,9.4167661,POINT (9.4167661 45.7920891)
030322,ATS DELL'INSUBRIA,030712,ASST LARIANA,COMO,120141,OPERE SOCIALI LARIANE,03440410136,03440410136,ALLOGGIO PROTETTO ANZIANI,047724,CASA ALBERGO BELLAGIO,11,CO,22021,BELLAGIO,,"VIA AL PERLO,7",338 7235008,,,,45.9738765,9.2480171,POINT (9.2480171 45.9738765)
030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030709,ASST DI LODI,LODI,175992,VILLA LAUS SRL,12146530964,12146530964,ALLOGGIO PROTETTO ANZIANI,091326,RESIDENZA ALIVERDI,36,LO,26816,OSSAGO LODIGIANO,,"VIA LODI,8",3356695526,,OSSAGO@PERANZIANI.IT,,45.2449876,9.538293,POINT (9.538293 45.2449876)
030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030709,ASST DI LODI,LODI,690837,FONDAZIONE  ING. PIETRO ZONCADA ETS,92505570157,08661880156,ALLOGGIO PROTETTO ANZIANI,048104,ALLOGGI PROTETTI PER ANZIANI - ZONCADA,13,LO,26812,BORGHETTO LODIGIANO,,"VIA FELICE CAVALLOTTI,21",0371/80253,,RAGIONERIA@FONDAZIONEZONCADA.IT,,45.2122237,9.5004328,POINT (9.5004328 45.2122237)
030323,ATS DELLA MONTAGNA,030713,ASST DELLA VALTELLINA E DELL'ALTO LARIO,SONDRIO,732596,GRANDANGOLO SOCIETA' COOPERATIVA SOCIALE,00523750149,00523750149,ALLOGGIO PROTETTO ANZIANI,067308,ALLOGGIO PROTETTO PER ANZIANI,8,SO,23100,SONDRIO,,"VIA DON LUIGI GUANELLA,19",0342 018684,,MINIALLOGGI@GRANDANGOLO.COOP,,46.16423,9.86576,POINT (9.86576 46.16423)
030322,ATS DELL'INSUBRIA,030711,ASST DELLA VALLE OLONA,GALLARATE,121986,ASSOCIAZIONE CENTRO DIURNO ANZIANI DI CASA MAURIZI,91022470123,91022470123,CENTRO DIURNI ANZIANI,055596,CENTRO DIURNO ANZIANI DI CASA MAURIZI,100,VA,21012,CASSANO MAGNAGO,,"VIA CAVALIERE AMBROGIO COLOMBO,32",0331/200584,,,,45.67485,8.82667,POINT (8.82667 45.67485)
