"COD_ASL","COD_STRUTTURA","DENOM_STRUTTURA","INDIRIZZO_UBICAZIONE","COD_ISTAT_COMUNE_UBICAZIONE","COMUNE_UBICAZIONE","CAP","PROV_COMUNE_UBICAZIONE","TOT_POSTI_AUTORIZZATI","TOT_POSTI_ACCREDITATI","COD_GESTORE","DENOM_GESTORE","P_IVA","COD_FISCALE_GESTORE","INDIRIZZO_SEDE_LEGALE","COD_ISTAT_COMUNE_SEDE_LEGALE","COMUNE_SEDE_LEGALE","PROV_SEDE_LEGALE","PUBBLICA_PRIVATA","WGS84_Y","WGS84_X","FL_ACCREDITATA","Location"
"325","095683","RSA SAN SISTO 2","VIA COLOGNOLA AI COLLI,9","016024","BERGAMO","24.126","BG","108","108","691497","KOS CARE S.R.L.","01148190547","01148190547","VIA DURINI,9","015146","MILANO","MI","PRIVATA","45,67749","9,66293","SI","POINT (9.66293 45.67749)"
"325","096642","RSA CARISMA 2","VIA DASTE E SPALENGA,12/V","016024","BERGAMO","24.125","BG","106","80","690823","FONDAZIONE CASA DI RICOVERO SANTA MARIA AUSILIATRICE ONLUS","01066880160","80017150162","VIA MONTE GLENO,49","016024","BERGAMO","BG","PRIVATA","45,69688","9,70591","SI","POINT (9.70591 45.69688)"
"321","000314","RSA SAN GIORGIO","VIA MAURIZIO QUADRIO,14/16","015146","MILANO","20.154","MI","138","138","691212","SEGESTA GESTIONI SRL","04140620966","04140620966","VIALE CASSALA,22","015146","MILANO","MI","PRIVATA","45,484017","9,1836067","SI","POINT (9.1836067 45.484017)"
"321","000296","RSA ISTITUTO SANTA SAVINA","VIA FRANCESCO DE LEMENE,13","098031","LODI","26.900","LO","83","80","691716","EMMAUS SRL","01457730032","01457730032","VIA CAPPUCCINI,4","015146","MILANO","MI","PRIVATA","45,31202","9,50228","SI","POINT (9.50228 45.31202)"
"325","001285","CASA SAN GIUSEPPE","VIA ASPERTI,1","016114","GORLAGO","24.060","BG","136","126","135008","SANT'ANDREA ONLUS","04100570169","04100570169","VIA ASPERTI,1","016114","GORLAGO","BG","PRIVATA","45,67421","9,82766","SI","POINT (9.82766 45.67421)"
"328","002211","RSA 1 ASP CARLO PEZZANI","VIALE DELLA REPUBBLICA,86","018182","VOGHERA","27.058","PV","66","66","691447","A.S.P. CARLO PEZZANI","00990490187","86000150184","VIALE DELLA REPUBBLICA,86","018182","VOGHERA","PV","PUBBLICA","44,9845356","9,0086207","SI","POINT (9.0086207 44.9845356)"
"327","001962","RSA CASA SOLARIS","VIA XXIX LUGLIO 1848,28","020061","SERMIDE E FELONICA","46.028","MN","69","68","691098","FONDAZIONE SALUTEVITA ONLUS","02619900208","01591200207","VIA XXIX LUGLIO 1848,28","020061","SERMIDE E FELONICA","MN","PRIVATA","45,00591","11,29808","SI","POINT (11.29808 45.00591)"
"326","001633","RSA - FONDAZIONE CASA DI RIPOSO FELTRINELLI ONLUS","VIA CESARE BATTISTI,2","017076","GARGNANO","25.084","BS","52","52","690733","FONDAZIONE CASA DI RIPOSO FELTRINELLI  ONLUS","87000350170","87000350170","VIA CESARE BATTISTI,2","017076","GARGNANO","BS","PRIVATA","45,6746495","10,6522277","SI","POINT (10.6522277 45.6746495)"
"327","001948","FONDAZIONE SCARPARI FORATTINI ONLUS","VIA GIUSEPPE GARIBALDI,25","020060","SCHIVENOGLIA","46.020","MN","110","104","690502","FONDAZIONE  SCARPARI FORATTINI ONLUS","01317830204","80017860208","VIA GIUSEPPE GARIBALDI,25","020060","SCHIVENOGLIA","MN","PRIVATA","44,9962156","11,0692999","SI","POINT (11.0692999 44.9962156)"
"321","097381","RSA LAUS","VIA RITA LEVI MONTALCINI,1","098032","LODI VECCHIO","26.855","LO","120",,"692369","CODESS SOCIALE SOCIETA' COOPERATIVA SOCIALE","03174760276","03174760276","VIA GIOVANNI BOCCACCIO,96","028060","PADOVA","PD","PRIVATA","45,30243","9,41875","NO","POINT (9.41875 45.30243)"
"321","000535","CASA FAM. PER ANZ. MONS. C. TESTA","VIA GENERALE CARLO ALBERTO DALLA CHIESA,43","015081","COLOGNO MONZESE","20.093","MI","139","139","690715","FONDAZIONE MANTOVANI ONLUS","11779830154","11779830154","VIA FILIPPO TURATI,37","015007","ARCONATE","MI","PRIVATA","45,53288","9,2876","SI","POINT (9.2876 45.53288)"
"322","000883","""FONDAZIONE CASA DI RIPOSO """"C. E V. BELLINI""""  ONLUS""","VIA ANGELO BELLINI,27","012123","SOMMA LOMBARDO","21.019","VA","40","40","690515","CASA DI RIPOSO C. E V. BELLINI ONLUS","01391960125","82007230129","VIA ANGELO BELLINI,27","012123","SOMMA LOMBARDO","VA","PRIVATA","45,6841371","8,7137794","SI","POINT (8.7137794 45.6841371)"
"324","004858","RSA CASA DI RIPOSO SUORE INFERMIERE DI SAN CARLO","VIA CAMILLO BENSO DI CAVOUR,67","108015","CARATE BRIANZA","20.841","MB","83",,"197694","GE.M. MILANO SRL","03162480606","03162480606","VIA GIOVANNI FANTONI,8","108040","SEVESO","MB","PRIVATA","45,6885073","9,2404742","NO","POINT (9.2404742 45.6885073)"
"324","001189","ISTITUTO SACRA FAMIGLIA","STRADA DEL VERDE,11","097067","PERLEDO","23.828","LC","55","55","690776","FONDAZIONE ISTITUTO SACRA FAMIGLIA ONLUS","00795470152","03034530158","PIAZZA MONSIGNORE LUIGI MONETA 1","015074","CESANO BOSCONE","MI","PRIVATA","46,0263454","9,2863101","SI","POINT (9.2863101 46.0263454)"
"327","001947","FONDAZIONE G.BELFANTI ONLUS","VIA G.M.BONAZZI,24","020038","OSTIGLIA","46.035","MN","38","35","690563","FONDAZIONE G. BELFANTI ONLUS","01770500203","80006970208","VIA G.M.BONAZZI,24","020038","OSTIGLIA","MN","PRIVATA","45,0658895","11,1375906","SI","POINT (11.1375906 45.0658895)"
