"Anno";"Codice Regione";"Codice Azienda";"Codice struttura";"Denominazione struttura";"Partita IVA";"Indirizzo";"Codice Comune";"CAP";"E-mail";"Sito web";"Prefisso";"Telefono";"Prefisso fax";"Numero fax";"Tipo struttura";"Tipo struttura di ricovero";"Codice struttura di ricovero";"Denominazione struttura di ricovero";"Mesi di funzionamento";"Tipo rapporto con il S.S.N.";"Titolare della convenzione";"Presenza Apparecchiature";"Anno apertura";"Mese apertura";"Anno chiusura";"Mese chiusura";"Descrizione tipo assistenza erogata"
"2020";"100";"201";"010109";"RESIDENZA SANITARIA ASSISTITA (R.S.A.) Città di Castello";"03301860544";"Via Luigi Angelini, 10";"054013";"06012";"rsadat.cittadicastello@uslumbria1.it";"www.uslumbria1.gov";"075";"8509679";"";"";"STRUTTURA RESIDENZIALE";"";"";"";"12";"1";"";"N";"2014";"05";"";"";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"201";"010110";"Residenza Sanitaria Assistita (R.S.A.) Umbertide";"03301860544";"Via Cavour,40";"054056";"06019";"rsa.umbertide@uslumbria1.it";"www.uslumbria1.gov.it";"075";"9422269";"";"";"STRUTTURA RESIDENZIALE";"";"";"";"12";"1";"";"N";"2015";"05";"";"";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"201";"010501";"OPERA PIA MUZI BETTI Residenza Protetta";"01768520544";"VIA DELLE TERME N. 4";"054013";"06012";"info@muzibetti.it";"www.muzibetti.it";"075";"8554234";"075";"8520728";"STRUTTURA RESIDENZIALE";"";"";"";"12";"2";"4";"N";"1997";"01";"";"";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"201";"010702";"ISTITUTI RIUNITI DI BENEFICENZA - RP - 'G. BALDUCCI'";"01220980542";"VIA DEI PATRIOTI N. 13";"054056";"06019";"residenzabalducci@virgilio.it";"";"075";"9417808";"075";"9417722";"STRUTTURA RESIDENZIALE";"";"";"";"12";"2";"4";"N";"2004";"01";"";"";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"201";"032801";"RESIDENZA CASA DELL'AMICIZIA SEPPILLI";"03301860544";"VIA DELLA PALLOTTA, 42";"054039";"06127";"ilaria.vescarelli@uslumbria1.it";"http://www.uslumbria1.gov.it/";"075";"5416147";"075";"96676237";"STRUTTURA RESIDENZIALE";"";"";"";"12";"1";"";"N";"1997";"01";"";"";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"201";"033301";"R.S.A. S.MARGHERITA";"03301860544";"Via XIV SETTEMBRE, 79";"054039";"06121";"ilaria.vescarelli@uslumbria1.it";"http://www.uslumbria1.gov.it/";"075";"5412734";"075";"5412742";"STRUTTURA RESIDENZIALE";"";"";"";"12";"1";"";"N";"1998";"12";"";"";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"201";"033601";"IST.SODALIZIO S.MARTINO";"00162940548";"VIA G.B. PONTANI, 15";"054039";"06128";"chiarafiorucci@sodaliziosanmartino.it";"www.sodaliziosanmartino.it";"075";"5008289";"075";"5057996";"STRUTTURA RESIDENZIALE";"";"";"";"12";"2";"4";"N";"2000";"01";"";"";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"201";"039926";"OPERE PIE DONINI";"22242120547";"VIALE ROMA, 56";"054039";"06121";"segreteria@operepiedonini.it";"";"075";"5717723";"";"";"STRUTTURA RESIDENZIALE";"";"";"";"12";"2";"4";"N";"1997";"01";"";"";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"201";"039928";"RESIDENZA OSPITALITA' FONTENUOVO";"94080490546";"VIA E. DAL POZZO 61";"054039";"06126";"segreteria@fontenuovo.191.it";"www.fontenuovo.it";"075";"5722345";"075";"5722347";"STRUTTURA RESIDENZIALE";"";"";"";"12";"2";"4";"N";"1997";"01";"";"";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"201";"039970";"RESIDENZA PROTETTA ANCHISE";"03437270543";"STRADA PONTE DELLA PIETRA-SAN VETTURINO,4";"054039";"06126";"residenzaanchise@gmail.com";"";"075";"5003284";"";"";"STRUTTURA RESIDENZIALE";"";"";"";"12";"2";"2";"N";"2016";"10";"";"";"ASSISTENZA AGLI ANZIANI"
